Date,Aantal
2020-04-04,1360
2020-04-05,1385
2020-04-06,1409
2020-04-07,1424
2020-04-08,1408
2020-04-09,1417
2020-04-10,1384
2020-04-11,1391
2020-04-12,1358
2020-04-13,1338
2020-04-14,1303
2020-04-15,1279
2020-04-16,1258
2020-04-17,1235
2020-04-18,1201
2020-04-19,1176
2020-04-20,1158
2020-04-21,1087
2020-04-22,1050
2020-04-23,1008
2020-04-24,963
2020-04-25,959
2020-04-26,934
2020-04-27,905
2020-04-28,861
2020-04-29,804
2020-04-30,783
2020-05-01,735
2020-05-02,708
2020-05-03,688
2020-05-04,683
2020-05-05,644
2020-05-06,628
2020-05-07,584
2020-05-08,564
2020-05-09,541
2020-05-10,507
2020-05-11,498
2020-05-12,463
2020-05-13,432
2020-05-14,410
2020-05-15,378
2020-05-16,346
2020-05-17,349
2020-05-18,323
2020-05-19,293
2020-05-20,275
2020-05-21,255
2020-05-22,252
2020-05-23,227
2020-05-24,223
2020-05-25,223
2020-05-26,188
2020-05-27,189
2020-05-28,182
2020-05-29,180
2020-05-30,170
2020-05-31,159
2020-06-01,158
2020-06-02,154
2020-06-03,116
2020-06-04,113
2020-06-05,97
2020-06-06,96
2020-06-07,96
2020-06-08,92
2020-06-09,91
2020-06-10,80
2020-06-11,77
2020-06-12,73
2020-06-13,77
2020-06-14,79
2020-06-15,87
2020-06-16,78
2020-06-17,73
2020-06-18,67
2020-06-19,57
2020-06-20,57
2020-06-21,55
2020-06-22,59
2020-06-23,48
2020-06-24,49
2020-06-25,49
2020-06-26,39
2020-06-27,29
2020-06-28,30
2020-06-29,32
2020-06-30,29
2020-07-01,28
2020-07-02,25
2020-07-03,20
2020-07-04,18
2020-07-05,18
2020-07-06,23
2020-07-07,24
2020-07-08,20
2020-07-09,21
2020-07-10,25
2020-07-11,26
2020-07-12,24
2020-07-13,24
2020-07-14,21
2020-07-15,20
2020-07-16,15
2020-07-17,15
2020-07-18,16
2020-07-19,17
2020-07-20,16
2020-07-21,15
2020-07-22,17
2020-07-23,15
2020-07-24,17
2020-07-25,18
2020-07-26,16
2020-07-27,21
2020-07-28,19
2020-07-29,17
2020-07-30,14
2020-07-31,19
2020-08-01,22
2020-08-02,21
2020-08-03,27
2020-08-04,26
2020-08-05,30
2020-08-06,29
2020-08-07,27
2020-08-08,28
2020-08-09,31
2020-08-10,29
2020-08-11,30
2020-08-12,35
2020-08-13,31
2020-08-14,38
2020-08-15,39
2020-08-16,36
2020-08-17,39
2020-08-18,42
2020-08-19,41
2020-08-20,39
2020-08-21,43
2020-08-22,42
2020-08-23,42
2020-08-24,41
2020-08-25,38
2020-08-26,38
2020-08-27,36
2020-08-28,34
2020-08-29,34
2020-08-30,33
2020-08-31,38
2020-09-01,33
2020-09-02,32
2020-09-03,28
2020-09-04,35
2020-09-05,35
2020-09-06,33
2020-09-07,31
2020-09-08,30
2020-09-09,31
2020-09-10,30
2020-09-11,36
2020-09-12,37
2020-09-13,36
2020-09-14,43
2020-09-15,53
2020-09-16,54
2020-09-17,49
2020-09-18,58
2020-09-19,67
2020-09-20,77
2020-09-21,85
2020-09-22,91
2020-09-23,104
2020-09-24,106
2020-09-25,116
2020-09-26,122
2020-09-27,127
2020-09-28,142
2020-09-29,142
2020-09-30,150
2020-10-01,152
2020-10-02,160
2020-10-03,156
2020-10-04,163
2020-10-05,177
2020-10-06,190
2020-10-07,210
2020-10-08,228
2020-10-09,239
2020-10-10,235
2020-10-11,247
2020-10-12,252
2020-10-13,277
2020-10-14,301
2020-10-15,313
2020-10-16,345
2020-10-17,352
2020-10-18,364
2020-10-19,379
2020-10-20,419
2020-10-21,450
2020-10-22,463
2020-10-23,472
2020-10-24,501
